                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.0324,                0.67919,                 1.4756,                0.94127,                      1,                 0.9665,                0.63805,                  1.176,                0.78211,                 1.5602,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.0338,                0.67469,                 1.4677,                0.94615,                      1,                 0.9925,                  0.647,                 1.1848,                0.75137,                 1.4213,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.0053,                0.65221,                   1.46,                0.97303,                      1,                  0.995,                0.68773,                 1.1483,                0.79206,                  1.425,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.0497,                0.67817,                 1.4584,                0.99166,                      1,                  0.995,                0.69724,                 1.1036,                0.80602,                 1.3716,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.0942,                0.69829,                 1.5004,                0.95361,                0.94737,                0.99024,                0.67415,                 1.1945,                0.81137,                 1.4452,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.0879,                0.73279,                 1.4949,                 0.8631,                      1,                0.98071,                0.67128,                  1.232,                0.77895,                  1.606,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.0973,                0.70227,                 1.4986,                0.88482,                      1,                0.97103,                0.65912,                 1.2725,                0.76526,                 1.6653,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.0638,                0.70165,                 1.4551,                      1,                0.99211,                  0.995,                0.69799,                 1.1332,                0.76342,                 1.4705,              0.0015684,              0.0015684,              0.0015684
                    112,                  1.071,                0.68956,                 1.4818,                0.99037,                      1,                  0.995,                0.68913,                 1.0876,                 0.7914,                 1.4535,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.0795,                0.68917,                 1.5564,                0.94463,                      1,                 0.9875,                0.68276,                   1.21,                0.74712,                 1.5199,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.0313,                0.65587,                 1.4467,                0.98173,                      1,                  0.995,                0.66572,                  1.215,                0.73539,                  1.445,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.0445,                0.67464,                 1.4778,                0.94229,                      1,                 0.9875,                0.65783,                 1.3321,                 0.7698,                 1.4784,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.0518,                0.65698,                 1.5037,                 0.9969,                      1,                  0.995,                0.65809,                 1.3082,                0.79043,                 1.5092,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.0747,                0.66327,                 1.4923,                      1,                0.99428,                  0.995,                0.65566,                 1.1446,                0.76639,                 1.6035,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.0507,                0.66715,                 1.4847,                      1,                0.99417,                  0.995,                0.66767,                 1.1322,                  0.747,                 1.4919,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.0224,                0.64741,                 1.4182,                0.99241,                0.94737,                 0.9925,                 0.6648,                  1.207,                0.76817,                 1.3935,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.0033,                0.64049,                 1.4422,                      1,                0.99177,                  0.995,                0.65037,                  1.182,                0.74148,                 1.4531,              0.0015327,              0.0015327,              0.0015327
                    121,                0.96813,                  0.625,                 1.4537,                0.99628,                      1,                  0.995,                0.67412,                 1.1482,                0.70657,                 1.4375,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.0244,                0.64933,                 1.4117,                0.99427,                      1,                  0.995,                0.66617,                 1.0947,                0.72729,                 1.5702,              0.0015248,              0.0015248,              0.0015248
                    123,                0.96544,                 0.6284,                 1.4492,                0.99555,                      1,                  0.995,                0.67345,                 1.1653,                0.74782,                 1.5835,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.0169,                 0.6639,                 1.4156,                0.94666,                      1,                  0.995,                0.67813,                 1.1852,                0.75884,                 1.5537,              0.0015169,              0.0015169,              0.0015169
                    125,                 1.0821,                0.67934,                  1.457,                0.94582,                      1,                 0.9925,                0.66522,                 1.2199,                0.72701,                 1.4864,              0.0015129,              0.0015129,              0.0015129
                    126,                 1.0651,                0.67264,                 1.4718,                0.97386,                      1,                  0.995,                0.66013,                 1.1854,                0.78811,                 1.5188,               0.001509,               0.001509,               0.001509
                    127,                 1.0505,                0.67087,                 1.4613,                0.94813,                      1,                  0.995,                0.65304,                 1.1935,                0.75419,                 1.5017,               0.001505,               0.001505,               0.001505
                    128,                 1.0704,                  0.676,                 1.4892,                0.93901,                      1,                 0.9925,                 0.6517,                 1.1567,                 0.7685,                 1.4725,               0.001501,               0.001501,               0.001501
                    129,                 1.0229,                0.67015,                 1.4887,                0.94375,                      1,                 0.9925,                0.67976,                 1.1859,                0.76736,                 1.4942,              0.0014971,              0.0014971,              0.0014971
                    130,                 0.9802,                0.65071,                 1.4481,                0.94506,                      1,                 0.9925,                0.66611,                 1.2136,                0.80626,                 1.4765,              0.0014931,              0.0014931,              0.0014931
                    131,                0.98279,                 0.6573,                 1.4482,                0.94598,                      1,                 0.9925,                0.63129,                  1.208,                0.76494,                 1.5474,              0.0014892,              0.0014892,              0.0014892
                    132,                0.98963,                0.63684,                 1.4804,                 0.9435,                      1,                 0.9925,                 0.6665,                 1.1854,                0.71972,                 1.5041,              0.0014852,              0.0014852,              0.0014852
                    133,                0.97829,                0.63635,                 1.4629,                0.98947,                      1,                  0.995,                0.67462,                 1.1793,                0.75917,                 1.4909,              0.0014812,              0.0014812,              0.0014812
                    134,                0.97836,                0.63945,                 1.5185,                  0.996,                      1,                  0.995,                0.66267,                 1.1976,                0.72179,                  1.464,              0.0014773,              0.0014773,              0.0014773
                    135,                0.96014,                0.61062,                 1.3885,                0.94658,                      1,                 0.9925,                0.67394,                 1.3082,                0.73018,                 1.5648,              0.0014733,              0.0014733,              0.0014733
                    136,                0.94589,                0.60592,                 1.4167,                 0.9423,                      1,                 0.9925,                0.67609,                  1.236,                0.74014,                 1.5573,              0.0014694,              0.0014694,              0.0014694
                    137,                0.94945,                0.61808,                 1.4136,                0.94382,                      1,                 0.9925,                0.64554,                 1.1657,                0.77396,                 1.5111,              0.0014654,              0.0014654,              0.0014654
                    138,                0.93918,                0.62086,                 1.4515,                0.94049,                0.94737,                0.99024,                0.67044,                 1.1917,                 0.7333,                 1.5484,              0.0014614,              0.0014614,              0.0014614
